"Binomial1","Binomial2","Binomial3","Binomial4","Binomial5"
"000 Species not accepted","000 Species not accepted_000 Species not accepted","Nycticeius_aenobarbus","Nycticeius_aenobarbus","Nycticeius_aenobarbus"
"000 Species not accepted","000 Species not accepted_000 Species not accepted","Nyctophilus_timoriensis","Nyctophilus_timoriensis","000 Species not accepted_000 Species not accepted"
"000 Species not accepted","000 Species not accepted_000 Species not accepted","Pecari_maximus","000 Species not accepted_000 Species not accepted","000 Species not accepted_000 Species not accepted"
"000 Species not accepted","000 Species not accepted_000 Species not accepted","Phoniscus_aerosa","Phoniscus_aerosa","Phoniscus_aerosa"
"000 Species not accepted","000 Species not accepted_000 Species not accepted","Pipistrellus_sturdeei","Pipistrellus_sturdeei","Pipistrellus_sturdeei"
"000 Species not accepted","000 Species not accepted_000 Species not accepted","Pteropus_argentatus","000 Species not accepted_000 Species not accepted","000 Species not accepted_000 Species not accepted"
"000 Species not accepted","000 Species not accepted_000 Species not accepted","Pteropus_insularis","Pteropus_insularis","000 Species not accepted_000 Species not accepted"
"000 Species not accepted","000 Species not accepted_000 Species not accepted","Stegomastodon_waringi","000 Species not accepted_000 Species not accepted","000 Species not accepted_000 Species not accepted"
"000 Species not accepted","Capromys_SP_Now","Capromys_SP_Now","000 Species not accepted_000 Species not accepted","000 Species not accepted_000 Species not accepted"
"000 Species not accepted","Cercopithecus_pogonias","Cercopithecus_pogonias","Cercopithecus_pogonias","000 Species not accepted_000 Species not accepted"
"000 Species not accepted","Coendou_sanctamartae","Coendou_sanctamartae","000 Species not accepted_000 Species not accepted","000 Species not accepted_000 Species not accepted"
"000 Species not accepted","Dipodomys_insularis","Dipodomys_insularis","000 Species not accepted_000 Species not accepted","000 Species not accepted_000 Species not accepted"
"000 Species not accepted","Dipodomys_margaritae","Dipodomys_margaritae","000 Species not accepted_000 Species not accepted","000 Species not accepted_000 Species not accepted"
"000 Species not accepted","Galagoides_nyasae","Galagoides_nyasae","000 Species not accepted_000 Species not accepted","000 Species not accepted_000 Species not accepted"
"000 Species not accepted","Galea_monasteriensis","Galea_monasteriensis","000 Species not accepted_000 Species not accepted","000 Species not accepted_000 Species not accepted"
"000 Species not accepted","Geocapromys_SP_B","Geocapromys_SP_B","000 Species not accepted_000 Species not accepted","000 Species not accepted_000 Species not accepted"
"000 Species not accepted","Lophostoma_aequatorialis","Lophostoma_aequatorialis","000 Species not accepted_000 Species not accepted","000 Species not accepted_000 Species not accepted"
"000 Species not accepted","Lophostoma_yasuni","Lophostoma_yasuni","000 Species not accepted_000 Species not accepted","000 Species not accepted_000 Species not accepted"
"000 Species not accepted","Mysateles_gundlachi","Mysateles_gundlachi","000 Species not accepted_000 Species not accepted","000 Species not accepted_000 Species not accepted"
"000 Species not accepted","Natalus_lanatus","Natalus_lanatus","000 Species not accepted_000 Species not accepted","000 Species not accepted_000 Species not accepted"
"000 Species not accepted","Nesophontes_SP_B","Nesophontes_SP_B","000 Species not accepted_000 Species not accepted","000 Species not accepted_000 Species not accepted"
"000 Species not accepted","Ochotona_gaoligongensis","Ochotona_gaoligongensis","Ochotona_gaoligongensis","000 Species not accepted_000 Species not accepted"
"000 Species not accepted","Ochotona_huangensis","Ochotona_huangensis","Ochotona_huangensis","000 Species not accepted_000 Species not accepted"
"000 Species not accepted","Ochotona_muliensis","Ochotona_muliensis","Ochotona_muliensis","000 Species not accepted_000 Species not accepted"
"000 Species not accepted","Ochotona_nigritia","Ochotona_nigritia","Ochotona_nigritia","000 Species not accepted_000 Species not accepted"
"000 Species not accepted","Phascolomys_medius","Phascolomys_medius","000 Species not accepted_000 Species not accepted","000 Species not accepted_000 Species not accepted"
"000 Species not accepted","Sturnira_thomasi","Sturnira_thomasi","Sturnira_thomasi","000 Species not accepted_000 Species not accepted"
"Abditomys_latidens","Abditomys_latidens","Abditomys_latidens","Abditomys_latidens","Abditomys_latidens"
"Abeomelomys_sevia","Abeomelomys_sevia","Abeomelomys_sevia","Abeomelomys_sevia","Abeomelomys_sevia"
"Abrawayaomys_ruschii","Abrawayaomys_ruschii","Abrawayaomys_ruschii","Abrawayaomys_ruschii","Abrawayaomys_ruschii"
"Abrocoma_bennettii","Abrocoma_bennettii","Abrocoma_bennettii","Abrocoma_bennettii","Abrocoma_bennettii"
"Abrocoma_boliviensis","Abrocoma_boliviensis","Abrocoma_boliviensis","Abrocoma_boliviensis","Abrocoma_boliviensis"
"Abrocoma_budini","Abrocoma_budini","Abrocoma_budini","Abrocoma_budini","Abrocoma_budini"
"Abrocoma_cinerea","Abrocoma_cinerea","Abrocoma_cinerea","Abrocoma_cinerea","Abrocoma_cinerea"
"Abrocoma_famatina","Abrocoma_famatina","Abrocoma_famatina","Abrocoma_famatina","Abrocoma_famatina"
"Abrocoma_shistacea","Abrocoma_shistacea","Abrocoma_shistacea","Abrocoma_shistacea","Abrocoma_shistacea"
"Abrocoma_uspallata","Abrocoma_uspallata","Abrocoma_uspallata","Abrocoma_uspallata","Abrocoma_uspallata"
"Abrocoma_vaccarum","Abrocoma_vaccarum","Abrocoma_vaccarum","Abrocoma_vaccarum","Abrocoma_vaccarum"
"Abrothrix_andinus","Abrothrix_andinus","Abrothrix_andinus","Abrothrix_andinus","Abrothrix_andinus"
"Abrothrix_illutea","Abrothrix_illuteus","Abrothrix_illuteus","Abrothrix_illuteus","Abrothrix_illutea"
"Abrothrix_jelskii","Abrothrix_jelskii","Abrothrix_jelskii","Abrothrix_jelskii","Abrothrix_jelskii"
"Abrothrix_lanosus","Abrothrix_lanosus","Abrothrix_lanosus","Abrothrix_lanosus","Abrothrix_lanosus"
"Abrothrix_longipilis","Abrothrix_longipilis","Abrothrix_longipilis","Abrothrix_longipilis","Abrothrix_longipilis"
"Abrothrix_olivaceus","Abrothrix_hershkovitzi","Abrothrix_hershkovitzi","Abrothrix_hershkovitzi","Abrothrix_olivaceus"
"Abrothrix_olivaceus","Abrothrix_markhami","Abrothrix_markhami","Abrothrix_markhami","Abrothrix_olivaceus"
"Abrothrix_olivaceus","Abrothrix_olivaceus","Abrothrix_olivaceus","Abrothrix_olivaceus","Abrothrix_olivaceus"
"Abrothrix_sanborni","Abrothrix_sanborni","Abrothrix_sanborni","Abrothrix_sanborni","Abrothrix_sanborni"
"Acerodon_celebensis","Acerodon_celebensis","Acerodon_celebensis","Acerodon_celebensis","Acerodon_celebensis"
"Acerodon_humilis","Acerodon_humilis","Acerodon_humilis","Acerodon_humilis","Acerodon_humilis"
"Acerodon_jubatus","Acerodon_jubatus","Acerodon_jubatus","Acerodon_jubatus","Acerodon_jubatus"
"Acerodon_leucotis","Acerodon_leucotis","Acerodon_leucotis","Acerodon_leucotis","Acerodon_leucotis"
"Acerodon_mackloti","Acerodon_mackloti","Acerodon_mackloti","Acerodon_mackloti","Acerodon_mackloti"
"Acinonyx_jubatus","Acinonyx_jubatus","Acinonyx_jubatus","Acinonyx_jubatus","Acinonyx_jubatus"
"Acomys_airensis","Acomys_airensis","Acomys_airensis","Acomys_airensis","Acomys_airensis"
"Acomys_cahirinus","Acomys_cahirinus","Acomys_cahirinus","Acomys_chudeaui","Acomys_cahirinus"
"Acomys_cahirinus","Acomys_cahirinus","Acomys_cahirinus","Acomys_cahirinus","Acomys_cahirinus"
"Acomys_cilicicus","Acomys_cilicicus","Acomys_cilicicus","Acomys_cilicicus","Acomys_cilicicus"
"Acomys_cineraceus","Acomys_cineraceus","Acomys_cineraceus","Acomys_cineraceus","Acomys_cineraceus"
"Acomys_dimidiatus","Acomys_dimidiatus","Acomys_dimidiatus","Acomys_dimidiatus","Acomys_dimidiatus"
"Acomys_ignitus","Acomys_ignitus","Acomys_ignitus","Acomys_ignitus","Acomys_ignitus"
"Acomys_johannis","Acomys_johannis","Acomys_johannis","Acomys_johannis","Acomys_johannis"
"Acomys_kempi","Acomys_kempi","Acomys_kempi","Acomys_kempi","Acomys_kempi"
"Acomys_louisae","Acomys_louisae","Acomys_louisae","Acomys_louisae","Acomys_louisae"
"Acomys_minous","Acomys_minous","Acomys_minous","Acomys_minous","Acomys_minous"
"Acomys_mullah","Acomys_mullah","Acomys_mullah","Acomys_mullah","Acomys_mullah"
"Acomys_nesiotes","Acomys_nesiotes","Acomys_nesiotes","Acomys_nesiotes","Acomys_nesiotes"
"Acomys_percivali","Acomys_percivali","Acomys_percivali","Acomys_percivali","Acomys_percivali"
"Acomys_russatus","Acomys_russatus","Acomys_russatus","Acomys_russatus","Acomys_russatus"
"Acomys_seurati","Acomys_seurati","Acomys_seurati","Acomys_seurati","Acomys_seurati"
"Acomys_spinosissimus","Acomys_spinosissimus","Acomys_spinosissimus","Acomys_spinosissimus","Acomys_spinosissimus"
"Acomys_subspinosus","Acomys_subspinosus","Acomys_subspinosus","Acomys_subspinosus","Acomys_subspinosus"
"Acomys_wilsoni","Acomys_wilsoni","Acomys_wilsoni","Acomys_wilsoni","Acomys_wilsoni"
"Aconaemys_fuscus","Aconaemys_fuscus","Aconaemys_fuscus","Aconaemys_fuscus","Aconaemys_fuscus"
"Aconaemys_porteri","Aconaemys_porteri","Aconaemys_porteri","Aconaemys_porteri","Aconaemys_porteri"
"Aconaemys_sagei","Aconaemys_sagei","Aconaemys_sagei","Aconaemys_sagei","Aconaemys_sagei"
"Acratocnus_odontrigonus","Acratocnus_odontrigonus","Acratocnus_odontrigonus","000 Species not accepted_000 Species not accepted","000 Species not accepted_000 Species not accepted"
"Acratocnus_ye","Acratocnus_ye","Acratocnus_ye","000 Species not accepted_000 Species not accepted","000 Species not accepted_000 Species not accepted"
"Acrobates_pygmaeus","Acrobates_pygmaeus","Acrobates_pygmaeus","Acrobates_pygmaeus","Acrobates_pygmaeus"
"Addax_nasomaculatus","Addax_nasomaculatus","Addax_nasomaculatus","Addax_nasomaculatus","Addax_nasomaculatus"
"Aegialomys_galapagoensis","Aegialomys_galapagoensis","Aegialomys_galapagoensis","Oryzomys_galapagoensis","Aegialomys_galapagoensis"
"Aegialomys_xanthaeolus","Aegialomys_xanthaeolus","Aegialomys_xanthaeolus","Oryzomys_xanthaeolus","Aegialomys_xanthaeolus"
"Aepeomys_lugens","Aepeomys_lugens","Aepeomys_lugens","Aepeomys_lugens","Aepeomys_lugens"
"Aepeomys_reigi","Aepeomys_reigi","Aepeomys_reigi","Aepeomys_reigi","Aepeomys_reigi"
"Aepyceros_melampus","Aepyceros_melampus","Aepyceros_melampus","Aepyceros_melampus","Aepyceros_melampus"
"Aepyprymnus_rufescens","Aepyprymnus_rufescens","Aepyprymnus_rufescens","Aepyprymnus_rufescens","Aepyprymnus_rufescens"
"Aeretes_melanopterus","Aeretes_melanopterus","Aeretes_melanopterus","Aeretes_melanopterus","Aeretes_melanopterus"
"Aeromys_tephromelas","Aeromys_tephromelas","Aeromys_tephromelas","Aeromys_tephromelas","Aeromys_tephromelas"
"Aeromys_thomasi","Aeromys_thomasi","Aeromys_thomasi","Aeromys_thomasi","Aeromys_thomasi"
"Aethalops_aequalis","Aethalops_aequalis","Aethalops_aequalis","Aethalops_aequalis","Aethalops_aequalis"
"Aethalops_alecto","Aethalops_alecto","Aethalops_alecto","Aethalops_alecto","Aethalops_alecto"
"Aethomys_bocagei","Aethomys_bocagei","Aethomys_bocagei","Aethomys_bocagei","Aethomys_bocagei"
"Aethomys_chrysophilus","Aethomys_chrysophilus","Aethomys_chrysophilus","Aethomys_chrysophilus","Aethomys_chrysophilus"
"Aethomys_granti","Aethomys_granti","Aethomys_granti","Micaelamys_granti","Aethomys_granti"
"Aethomys_hindei","Aethomys_hindei","Aethomys_hindei","Aethomys_hindei","Aethomys_hindei"
"Aethomys_ineptus","Aethomys_ineptus","Aethomys_ineptus","Aethomys_ineptus","Aethomys_ineptus"
"Aethomys_kaiseri","Aethomys_kaiseri","Aethomys_kaiseri","Aethomys_kaiseri","Aethomys_kaiseri"
"Aethomys_namaquensis","Aethomys_namaquensis","Aethomys_namaquensis","Micaelamys_namaquensis","Aethomys_namaquensis"
"Aethomys_nyikae","Aethomys_nyikae","Aethomys_nyikae","Aethomys_nyikae","Aethomys_nyikae"
"Aethomys_silindensis","Aethomys_silindensis","Aethomys_silindensis","Aethomys_silindensis","Aethomys_silindensis"
"Aethomys_stannarius","Aethomys_stannarius","Aethomys_stannarius","Aethomys_stannarius","Aethomys_stannarius"
"Aethomys_thomasi","Aethomys_thomasi","Aethomys_thomasi","Aethomys_thomasi","Aethomys_thomasi"
"Agalmaceros_blicki","Agalmaceros_blicki","Agalmaceros_blicki","000 Species not accepted_000 Species not accepted","000 Species not accepted_000 Species not accepted"
"Ailuropoda_melanoleuca","Ailuropoda_melanoleuca","Ailuropoda_melanoleuca","Ailuropoda_melanoleuca","Ailuropoda_melanoleuca"
"Ailurops_melanotis","Ailurops_melanotis","Ailurops_melanotis","Ailurops_melanotis","Ailurops_melanotis"
"Ailurops_ursinus","Ailurops_ursinus","Ailurops_ursinus","Ailurops_ursinus","Ailurops_ursinus"
"Ailurus_fulgens","Ailurus_fulgens","Ailurus_fulgens","Ailurus_fulgens","Ailurus_fulgens"
"Akodon_aerosus","Akodon_aerosus","Akodon_aerosus","Akodon_aerosus","Akodon_aerosus"
"Akodon_affinis","Akodon_affinis","Akodon_affinis","Akodon_affinis","Akodon_affinis"
"Akodon_albiventer","Akodon_albiventer","Akodon_albiventer","Akodon_albiventer","Akodon_albiventer"
"Akodon_aliquantulus","Akodon_aliquantulus","Akodon_aliquantulus","Akodon_aliquantulus","Akodon_aliquantulus"
"Akodon_azarae","Akodon_azarae","Akodon_azarae","Akodon_azarae","Akodon_azarae"
"Akodon_boliviensis","Akodon_boliviensis","Akodon_boliviensis","Akodon_boliviensis","Akodon_boliviensis"
"Akodon_budini","Akodon_budini","Akodon_budini","Akodon_budini","Akodon_budini"
"Akodon_cursor","Akodon_cursor","Akodon_cursor","Akodon_cursor","Akodon_cursor"
"Akodon_dayi","Akodon_dayi","Akodon_dayi","Akodon_dayi","Akodon_dayi"
"Akodon_dolores","Akodon_dolores","Akodon_dolores","Akodon_dolores","Akodon_dolores"
"Akodon_fumeus","Akodon_fumeus","Akodon_fumeus","Akodon_fumeus","Akodon_fumeus"
"Akodon_iniscatus","Akodon_iniscatus","Akodon_iniscatus","Akodon_iniscatus","Akodon_iniscatus"
"Akodon_juninensis","Akodon_juninensis","Akodon_juninensis","Akodon_juninensis","Akodon_juninensis"
"Akodon_kofordi","Akodon_kofordi","Akodon_kofordi","Akodon_kofordi","Akodon_kofordi"
"Akodon_leucolimnaeus","Akodon_leucolimnaeus","Akodon_leucolimnaeus","Akodon_leucolimnaeus","Akodon_leucolimnaeus"
"Akodon_lindberghi","Akodon_lindberghi","Akodon_lindberghi","Akodon_lindberghi","Akodon_lindberghi"
"Akodon_lutescens","Akodon_lutescens","Akodon_lutescens","Akodon_lutescens","Akodon_lutescens"
"Akodon_mimus","Akodon_mimus","Akodon_mimus","Akodon_mimus","Akodon_mimus"
"Akodon_molinae","Akodon_molinae","Akodon_molinae","Akodon_molinae","Akodon_molinae"
"Akodon_mollis","Akodon_mollis","Akodon_mollis","Akodon_mollis","Akodon_mollis"
"Akodon_montensis","Akodon_montensis","Akodon_montensis","Akodon_montensis","Akodon_montensis"
"Akodon_mystax","Akodon_mystax","Akodon_mystax","Akodon_mystax","Akodon_mystax"
"Akodon_neocenus","Akodon_neocenus","Akodon_neocenus","Akodon_neocenus","Akodon_neocenus"
"Akodon_oenos","Akodon_oenos","Akodon_oenos","Akodon_oenos","Akodon_oenos"
"Akodon_orophilus","Akodon_orophilus","Akodon_orophilus","Akodon_orophilus","Akodon_orophilus"
"Akodon_paranaensis","Akodon_paranaensis","Akodon_paranaensis","Akodon_paranaensis","Akodon_paranaensis"
"Akodon_pervalens","Akodon_pervalens","Akodon_pervalens","Akodon_pervalens","Akodon_pervalens"
"Akodon_philipmyersi","Akodon_philipmyersi","Akodon_philipmyersi","000 Species not accepted_000 Species not accepted","Akodon_philipmyersi"
"Akodon_reigi","Akodon_reigi","Akodon_reigi","Akodon_reigi","Akodon_reigi"
"Akodon_sanctipaulensis","Akodon_sanctipaulensis","Akodon_sanctipaulensis","Akodon_sanctipaulensis","Akodon_sanctipaulensis"
"Akodon_serrensis","Akodon_serrensis","Akodon_serrensis","Akodon_serrensis","Akodon_serrensis"
"Akodon_siberiae","Akodon_siberiae","Akodon_siberiae","Akodon_siberiae","Akodon_siberiae"
"Akodon_simulator","Akodon_simulator","Akodon_simulator","Akodon_simulator","Akodon_simulator"
"Akodon_spegazzinii","Akodon_spegazzinii","Akodon_spegazzinii","Akodon_spegazzinii","Akodon_spegazzinii"
"Akodon_subfuscus","Akodon_subfuscus","Akodon_subfuscus","Akodon_subfuscus","Akodon_subfuscus"
"Akodon_surdus","Akodon_surdus","Akodon_surdus","Akodon_surdus","Akodon_surdus"
"Akodon_sylvanus","Akodon_sylvanus","Akodon_sylvanus","Akodon_sylvanus","Akodon_sylvanus"
"Akodon_toba","Akodon_toba","Akodon_toba","Akodon_toba","Akodon_toba"
"Akodon_torques","Akodon_torques","Akodon_torques","Akodon_torques","Akodon_torques"
"Akodon_varius","Akodon_varius","Akodon_varius","Akodon_varius","Akodon_varius"
"Alcelaphus_buselaphus","Alcelaphus_buselaphus","Alcelaphus_buselaphus","Alcelaphus_caama","Alcelaphus_buselaphus"
"Alcelaphus_buselaphus","Alcelaphus_buselaphus","Alcelaphus_buselaphus","Alcelaphus_buselaphus","Alcelaphus_buselaphus"
"Alcelaphus_buselaphus","Alcelaphus_buselaphus","Alcelaphus_buselaphus","Alcelaphus_lichtensteinii","Alcelaphus_buselaphus"
"Alces_alces","Alces_alces","Alces_alces","Alces_alces","Alces_alces"
"Alces_alces","Alces_americanus","Alces_americanus","Alces_americanus","Alces_alces"
"Alionycteris_paucidentata","Alionycteris_paucidentata","Alionycteris_paucidentata","Alionycteris_paucidentata","Alionycteris_paucidentata"
"Allactaga_balikunica","Allactaga_balikunica","Allactaga_balikunica","Allactaga_balikunica","Allactaga_balikunica"
"Allactaga_bullata","Allactaga_bullata","Allactaga_bullata","Allactaga_bullata","Allactaga_bullata"
"Allactaga_elater","Allactaga_elater","Allactaga_elater","Allactaga_elater","Allactaga_elater"
"Allactaga_euphratica","Allactaga_euphratica","Allactaga_euphratica","Allactaga_euphratica","Allactaga_euphratica"
"Allactaga_firouzi","Allactaga_firouzi","Allactaga_firouzi","Allactaga_firouzi","Allactaga_firouzi"
"Allactaga_hotsoni","Allactaga_hotsoni","Allactaga_hotsoni","Allactaga_hotsoni","Allactaga_hotsoni"
"Allactaga_major","Allactaga_major","Allactaga_major","Allactaga_major","Allactaga_major"
"Allactaga_severtzovi","Allactaga_severtzovi","Allactaga_severtzovi","Allactaga_severtzovi","Allactaga_severtzovi"
"Allactaga_sibirica","Allactaga_sibirica","Allactaga_sibirica","Allactaga_sibirica","Allactaga_sibirica"
"Allactaga_tetradactyla","Allactaga_tetradactyla","Allactaga_tetradactyla","Allactaga_tetradactyla","Allactaga_tetradactyla"
"Allactaga_vinogradovi","Allactaga_vinogradovi","Allactaga_vinogradovi","Allactaga_vinogradovi","Allactaga_vinogradovi"
"Allactaga_williamsi","Allactaga_williamsi","Allactaga_williamsi","Allactaga_williamsi","Allactaga_williamsi"
"Allactodipus_bobrinskii","Allactodipus_bobrinskii","Allactodipus_bobrinskii","Allactodipus_bobrinskii","Allactodipus_bobrinskii"
"Allenopithecus_nigroviridis","Allenopithecus_nigroviridis","Allenopithecus_nigroviridis","Allenopithecus_nigroviridis","Allenopithecus_nigroviridis"
"Allocebus_trichotis","Allocebus_trichotis","Allocebus_trichotis","Allocebus_trichotis","Allocebus_trichotis"
"Allochrocebus_lhoesti","Cercopithecus_lhoesti","Cercopithecus_lhoesti","Cercopithecus_lhoesti","Allochrocebus_lhoesti"
"Allochrocebus_preussi","Cercopithecus_preussi","Cercopithecus_preussi","Cercopithecus_preussi","Allochrocebus_preussi"
"Allochrocebus_solatus","Cercopithecus_solatus","Cercopithecus_solatus","Cercopithecus_solatus","Allochrocebus_solatus"
"Allocricetulus_curtatus","Allocricetulus_curtatus","Allocricetulus_curtatus","Allocricetulus_curtatus","Allocricetulus_curtatus"
"Allocricetulus_eversmanni","Allocricetulus_eversmanni","Allocricetulus_eversmanni","Allocricetulus_eversmanni","Allocricetulus_eversmanni"
"Alouatta_arctoidea","Alouatta_arctoidea","Alouatta_arctoidea","000 Species not accepted_000 Species not accepted","Alouatta_arctoidea"
"Alouatta_belzebul","Alouatta_belzebul","Alouatta_belzebul","Alouatta_belzebul","Alouatta_belzebul"
"Alouatta_caraya","Alouatta_caraya","Alouatta_caraya","Alouatta_caraya","Alouatta_caraya"
"Alouatta_discolor","Alouatta_discolor","Alouatta_discolor","000 Species not accepted_000 Species not accepted","Alouatta_discolor"
"Alouatta_guariba","Alouatta_guariba","Alouatta_guariba","Alouatta_guariba","Alouatta_guariba"
"Alouatta_macconnelli","Alouatta_macconnelli","Alouatta_macconnelli","Alouatta_macconnelli","Alouatta_macconnelli"
"Alouatta_nigerrima","Alouatta_nigerrima","Alouatta_nigerrima","Alouatta_nigerrima","Alouatta_nigerrima"
"Alouatta_palliata","Alouatta_palliata","Alouatta_palliata","Alouatta_palliata","Alouatta_palliata"
"Alouatta_palliata","Alouatta_palliata","Alouatta_palliata","Alouatta_coibensis","Alouatta_palliata"
"Alouatta_pigra","Alouatta_pigra","Alouatta_pigra","Alouatta_pigra","Alouatta_pigra"
"Alouatta_sara","Alouatta_sara","Alouatta_sara","Alouatta_sara","Alouatta_sara"
"Alouatta_seniculus","Alouatta_seniculus","Alouatta_seniculus","Alouatta_seniculus","Alouatta_seniculus"
"Alouatta_ululata","Alouatta_ululata","Alouatta_ululata","000 Species not accepted_000 Species not accepted","Alouatta_ululata"
"Alticola_albicaudus","Alticola_albicaudus","Alticola_albicaudus","Alticola_albicaudus","Alticola_albicaudus"
"Alticola_argentatus","Alticola_argentatus","Alticola_argentatus","Alticola_argentatus","Alticola_argentatus"
"Alticola_barakshin","Alticola_barakshin","Alticola_barakshin","Alticola_barakshin","Alticola_barakshin"
"Alticola_lemminus","Alticola_lemminus","Alticola_lemminus","Alticola_lemminus","Alticola_lemminus"
"Alticola_macrotis","Alticola_macrotis","Alticola_macrotis","Alticola_macrotis","Alticola_macrotis"
"Alticola_montosa","Alticola_montosa","Alticola_montosa","Alticola_montosa","Alticola_montosa"
"Alticola_olchonensis","Alticola_olchonensis","Alticola_olchonensis","Alticola_olchonensis","Alticola_olchonensis"
"Alticola_roylei","Alticola_roylei","Alticola_roylei","Alticola_roylei","Alticola_roylei"
"Alticola_semicanus","Alticola_semicanus","Alticola_semicanus","Alticola_semicanus","Alticola_semicanus"
"Alticola_stoliczkanus","Alticola_stoliczkanus","Alticola_stoliczkanus","Alticola_stoliczkanus","Alticola_stoliczkanus"
"Alticola_strelzowi","Alticola_strelzowi","Alticola_strelzowi","Alticola_strelzowi","Alticola_strelzowi"
"Alticola_tuvinicus","Alticola_tuvinicus","Alticola_tuvinicus","Alticola_tuvinicus","Alticola_tuvinicus"
"Amblyrhiza_inundata","Amblyrhiza_inundata","Amblyrhiza_inundata","000 Species not accepted_000 Species not accepted","000 Species not accepted_000 Species not accepted"
"Amblysomus_corriae","Amblysomus_corriae","Amblysomus_corriae","Amblysomus_corriae","Amblysomus_corriae"
"Amblysomus_hottentotus","Amblysomus_hottentotus","Amblysomus_hottentotus","Amblysomus_hottentotus","Amblysomus_hottentotus"
"Amblysomus_marleyi","Amblysomus_marleyi","Amblysomus_marleyi","Amblysomus_marleyi","Amblysomus_marleyi"
"Amblysomus_robustus","Amblysomus_robustus","Amblysomus_robustus","Amblysomus_robustus","Amblysomus_robustus"
"Amblysomus_septentrionalis","Amblysomus_septentrionalis","Amblysomus_septentrionalis","Amblysomus_septentrionalis","Amblysomus_septentrionalis"
"Ametrida_centurio","Ametrida_centurio","Ametrida_centurio","Ametrida_centurio","Ametrida_centurio"
"Ammodillus_imbellis","Ammodillus_imbellis","Ammodillus_imbellis","Ammodillus_imbellis","Ammodillus_imbellis"
"Ammodorcas_clarkei","Ammodorcas_clarkei","Ammodorcas_clarkei","Ammodorcas_clarkei","Ammodorcas_clarkei"
"Ammospermophilus_harrisii","Ammospermophilus_harrisii","Ammospermophilus_harrisii","Ammospermophilus_harrisii","Ammospermophilus_harrisii"
"Ammospermophilus_interpres","Ammospermophilus_interpres","Ammospermophilus_interpres","Ammospermophilus_interpres","Ammospermophilus_interpres"
"Ammospermophilus_leucurus","Ammospermophilus_leucurus","Ammospermophilus_leucurus","Ammospermophilus_leucurus","Ammospermophilus_leucurus"
